,000001.SZ,000002.SZ,000063.SZ,000408.SZ,000425.SZ,000538.SZ,000568.SZ,000596.SZ,000617.SZ,000625.SZ,000651.SZ,000661.SZ,000708.SZ,000733.SZ,000768.SZ,000776.SZ,000786.SZ,000800.SZ,000807.SZ,000858.SZ,000876.SZ,000895.SZ,000938.SZ,600000.SH,600009.SH,600061.SH,600085.SH,600089.SH,600104.SH,600111.SH,600115.SH,600132.SH,600150.SH,600161.SH,600176.SH,600183.SH,600188.SH,600196.SH,600219.SH,600600.SH,600660.SH,600674.SH,600690.SH,600741.SH,600760.SH,600795.SH,600803.SH,600809.SH,600875.SH,600886.SH,600887.SH,600893.SH,601607.SH
2024-04-26,2.405072661467939e-12,0.0,0.0,0.0,0.0,3.2407356923442893e-12,0.0,4.492576278867357e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6058060125580152e-12,2.7300021374974323e-12,0.0,0.0,0.0,0.04731568063313513,1.2833891011362367e-12,0.0,4.239412990407201e-12,0.0,0.0,2.9922802483954635e-12,0.0,3.292484095412733e-12,0.0,4.948088689632545e-12,3.5449758057695703e-12,0.0,0.13785323146354725,0.0,0.0,0.0,2.4244953003392048e-12,0.0,6.104406612343276e-13,2.10812320640786e-12,2.3636030240234582e-12,0.5051967109142698,3.6305023176970482e-12,3.292418747618359e-12,3.933934566210794e-12,0.0,2.9194979375364568e-12,0.0,0.3096343769258462,4.04424545053216e-12,1.7847075583188754e-12,3.1494420774071363e-13
2024-04-29,2.447535444014279e-12,0.0,0.0,0.0,0.0,3.273044413938866e-12,0.0,4.509519852594749e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6041765267825435e-12,2.9968352772934532e-12,0.0,0.0,0.0,0.04747087640103288,1.2759327747015372e-12,0.0,4.230450816425722e-12,0.0,0.0,3.017971445584074e-12,0.0,3.3028167046544213e-12,0.0,4.885451085403178e-12,3.6199340384335487e-12,0.0,0.13659814759848773,0.0,0.0,0.0,2.4736203521179304e-12,0.0,6.115404710801822e-13,2.085292082764111e-12,2.3288583382725997e-12,0.512130744721773,3.4289296818492488e-12,3.319213668075017e-12,3.925618177575407e-12,0.0,2.979839955727398e-12,0.0,0.30380023121517497,4.076038378367369e-12,1.8206697575867483e-12,3.179758203226572e-13
2024-04-30,2.3454710535023004e-12,0.0,0.0,0.0,0.0,3.212511771013115e-12,0.0,4.4137711536590374e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4592472750409193e-12,2.847624796308577e-12,0.0,0.0,0.0,0.04371338323799582,1.2268131752261237e-12,0.0,4.214820770449077e-12,0.0,0.0,2.828651903285409e-12,0.0,3.0837931635838662e-12,0.0,4.815817689728009e-12,3.5938961860548792e-12,0.0,0.133087407895638,0.0,0.0,0.0,2.3708556103565595e-12,0.0,6.067428036834204e-13,2.0442938543760405e-12,2.2780405554069507e-12,0.5166097995252741,3.2293255298228254e-12,3.2157781336613084e-12,3.882410266792776e-12,0.0,2.908099641765286e-12,0.0,0.30658940927952444,3.9575694307132025e-12,1.7293944324641906e-12,3.0291424366386683e-13
2024-05-06,0.0,0.0,4.8802167647140335e-12,0.0,0.0,2.5634140985618567e-12,0.0,0.0,1.090715359215489e-11,4.094695565533539e-11,0.0,0.0,0.0,0.0,1.9833937267639e-12,1.7547279529933715e-11,0.0,1.4905626075390375e-13,0.0,0.0,2.805377486442913e-11,0.20202114260302986,0.0,2.9451921606447574e-13,5.9289290544081744e-12,1.0190240923024363e-12,0.11013076327753762,0.0,1.7315193595355787e-11,2.571953539583163e-11,1.2091249050286777e-11,3.10526402417959e-12,0.0,7.383575932980033e-12,0.0,0.0,0.0,1.91338751093011e-11,0.0,0.0,0.0,1.0122827832430557e-11,0.43373439734765745,1.0049636109718442e-11,1.3656413108155747e-11,0.06705018136794659,0.0,0.0,0.03540205060257714,2.7779246829835848e-12,6.439618925794747e-13,0.15166146564657568,3.55323225884169e-13
2024-05-07,0.0,0.0,4.839702394048727e-12,0.0,0.0,2.5515112784208578e-12,0.0,0.0,1.0960680586441628e-11,4.021653087971946e-11,0.0,0.0,0.0,0.0,2.094078365225151e-12,1.7564018859098987e-11,0.0,1.5084936226655977e-13,0.0,0.0,2.8397889034983804e-11,0.2012955451571087,0.0,2.943375119373183e-13,5.922598941216319e-12,1.015982547577467e-12,0.1113025983198089,0.0,1.7089213576613744e-11,2.661557660144117e-11,1.2161976844852934e-11,3.10293294735433e-12,0.0,7.487437912831144e-12,0.0,0.0,0.0,1.9251144561652737e-11,0.0,0.0,0.0,9.996815106241444e-12,0.4292294046496623,1.0015402647365175e-11,1.4111752668446996e-11,0.0663707411675533,0.0,0.0,0.035209269369008915,2.7114958235436495e-12,6.359395502856912e-13,0.15659244109931397,3.5607220670791064e-13
2024-05-08,0.0,0.0,4.704674607876687e-12,0.0,0.0,2.5467630724986528e-12,0.0,0.0,1.0734710464697445e-11,4.164370804234786e-11,0.0,0.0,0.0,0.0,2.068170228485794e-12,1.734431212912746e-11,0.0,1.486472447355098e-13,0.0,0.0,2.8955766431366616e-11,0.20341869428308765,0.0,2.934503945572956e-13,5.899254074748833e-12,1.0013036903606271e-12,0.1108802536509822,0.0,1.706966123857995e-11,2.6524728441818227e-11,1.2029401725032143e-11,3.1104322691314268e-12,0.0,7.509034913874608e-12,0.0,0.0,0.0,1.9226430143549985e-11,0.0,0.0,0.0,1.004710988907761e-11,0.4288958650932261,9.907989558407132e-12,1.4094662635288714e-11,0.06621255027428663,0.0,0.0,0.035029690003385676,2.698270397342736e-12,6.329580183022098e-13,0.1555629464564854,3.549246425239665e-13
2024-05-09,0.0,0.0,4.733776447905624e-12,0.0,0.0,2.504174375132785e-12,0.0,0.0,1.0704751494065396e-11,4.143723319618481e-11,0.0,0.0,0.0,0.0,2.1577770686780416e-12,1.7256664992350597e-11,0.0,1.4705982312518444e-13,0.0,0.0,2.93692236752641e-11,0.2004851608719382,0.0,2.906373305175976e-13,5.845850595053307e-12,9.995260062323945e-13,0.10962114636465352,0.0,1.692927086769562e-11,2.680287701881791e-11,1.2008374099037461e-11,3.081876660587264e-12,0.0,7.533700684774562e-12,0.0,0.0,0.0,1.917605089903725e-11,0.0,0.0,0.0,9.974950754995087e-12,0.42709373806809275,9.902872798665554e-12,1.4331711255032718e-11,0.06519803251031808,0.0,0.0,0.03607028624063239,2.645273369069948e-12,6.26668306136864e-13,0.1615316357055504,3.5444828386754155e-13
2024-05-10,0.0,0.0,4.705163452363981e-12,0.0,0.0,2.455780240903478e-12,0.0,0.0,1.081588061877341e-11,4.056345599550415e-11,0.0,0.0,0.0,0.0,2.1376690557222606e-12,1.7253616704836282e-11,0.0,1.4594090938446444e-13,0.0,0.0,2.9431685797586545e-11,0.2013511058013457,0.0,2.949061611553973e-13,5.795781260103518e-12,1.0041197334380597e-12,0.10873217100516998,0.0,1.692135904118063e-11,2.649695688714791e-11,1.1969902704132482e-11,3.1068028813213818e-12,0.0,7.465101194631555e-12,0.0,0.0,0.0,1.8981116890732237e-11,0.0,0.0,0.0,9.997162366314024e-12,0.42504838646542836,9.895034392436238e-12,1.4019815916666823e-11,0.06700823757619913,0.0,0.0,0.036459139888440587,2.640179175272923e-12,6.186840975173816e-13,0.16140095902634802,3.521461162383893e-13
2024-05-13,0.0,2.607045632026506e-11,1.944905020822435e-11,1.4910243527720918e-10,6.645262510045012e-11,0.0,4.276871531073494e-12,2.725482973602403e-12,0.0,0.0,2.482997502112088e-11,1.9107283311389614e-12,0.0,7.7264583070892e-11,0.0,0.0,2.001315806987029e-11,0.0,3.046221184934053e-11,0.0,0.0,0.33964960069735434,4.4555024920141983e-11,0.0,0.0,0.0,0.019293575328663395,6.429686237861917e-12,0.0,3.841504597234232e-12,0.0,1.0254160328785563e-11,3.8909778274618825e-11,0.03664886272782173,4.128739843457955e-11,0.005915098238622014,0.0,0.0,1.8974725586584375e-11,3.0255901348247888e-12,0.01813219331332482,2.4715346330304054e-12,0.2876341466393679,0.0,8.884649992758383e-11,0.0,6.783001231559429e-11,0.0,0.015534080611810688,2.2316357888516628e-11,0.0,0.2771924421223923,0.0
2024-05-14,0.0,2.6508358788397477e-11,1.9738495165166415e-11,1.5379802548660065e-10,6.636433540133888e-11,0.0,4.352907259402517e-12,2.7231185733895922e-12,0.0,0.0,2.457002065065734e-11,1.9393391229150694e-12,0.0,7.653200461127046e-11,0.0,0.0,2.0139211429559294e-11,0.0,3.0932358906430675e-11,0.0,0.0,0.340391889877548,4.568944869856027e-11,0.0,0.0,0.0,0.020194004201749972,6.450504588463388e-12,0.0,3.881235730469126e-12,0.0,1.0542123269371102e-11,3.946374515168318e-11,0.03734691712077983,4.060124720892359e-11,0.0059644532878490334,0.0,0.0,1.9293491102249467e-11,3.0731946017609795e-12,0.01812516356007923,2.523266783110258e-12,0.2861227092091633,0.0,8.900821670099762e-11,0.0,6.845203369946345e-11,0.0,0.015416666558966405,2.269672699502329e-11,0.0,0.27643819540459075,0.0
2024-05-15,0.0,2.774270531902245e-11,1.9581672035667502e-11,1.546330485158034e-10,6.617797156645669e-11,0.0,4.36965214633845e-12,2.7643470582590155e-12,0.0,0.0,2.488578427298142e-11,1.9165640480586875e-12,0.0,7.393145128026642e-11,0.0,0.0,2.1426830723443475e-11,0.0,3.0172613266140916e-11,0.0,0.0,0.33790747163910495,4.6078678440458086e-11,0.0,0.0,0.0,0.02006469330814972,6.431710945932206e-12,0.0,3.850081863037251e-12,0.0,1.0375636232946651e-11,3.8174724019003966e-11,0.03705135454666208,4.0489369429658e-11,0.006027140510228113,0.0,0.0,1.9225364768675075e-11,3.1238944749441226e-12,0.018102458568996595,2.530574632643971e-12,0.28987957493526284,0.0,8.895448417088261e-11,0.0,6.794514492003648e-11,0.0,0.015169715336566376,2.2681244584167673e-11,0.0,0.27579759037756596,0.0
2024-05-16,0.0,2.970071607299914e-11,2.0056489804401783e-11,1.5638477682814717e-10,6.798378066889504e-11,0.0,4.5321845479886736e-12,2.8024877186525456e-12,0.0,0.0,2.4929225670262127e-11,1.9308571564819138e-12,0.0,7.504682423822678e-11,0.0,0.0,2.1756064653091845e-11,0.0,3.099178119790559e-11,0.0,0.0,0.3370869026044442,5.0932112361309716e-11,0.0,0.0,0.0,0.0201099507368624,6.458027016761689e-12,0.0,3.8852256623438045e-12,0.0,1.0551032929669075e-11,3.799356426814599e-11,0.03674430516908623,4.155224881610397e-11,0.006203360861908842,0.0,0.0,1.9661413629981072e-11,3.153053734087829e-12,0.018219746759469156,2.526851046331661e-12,0.28929087899129813,0.0,8.969789743610021e-11,0.0,6.922885348073439e-11,0.0,0.015470474978864368,2.285957782908138e-11,0.0,0.2768743791034516,0.0
2024-05-17,0.0,3.2618297715842476e-11,1.989350863759528e-11,1.5516867226216006e-10,6.717228169071029e-11,0.0,4.6329805153845006e-12,2.8341761040482697e-12,0.0,0.0,2.4830749051583987e-11,1.9418076743594238e-12,0.0,7.68188208913556e-11,0.0,0.0,2.1831410407944796e-11,0.0,3.152797279367268e-11,0.0,0.0,0.33951135899962054,5.0312043284490705e-11,0.0,0.0,0.0,0.019880087417989318,6.477231019685085e-12,0.0,3.925247936780954e-12,0.0,1.0489043587664502e-11,3.7360719773565385e-11,0.03592605510788997,4.114917213025954e-11,0.006210122899756719,0.0,0.0,1.9994695879024354e-11,3.1498518632754837e-12,0.01775952048631973,2.529782488195427e-12,0.2847939229152897,0.0,9.119192503527935e-11,0.0,6.880132978172654e-11,0.0,0.015574343551771619,2.2889849033149038e-11,0.0,0.2803445878238207,0.0
2024-05-20,0.0,4.79458671918082e-10,1.1022826641046073e-11,0.0,1.463725761694384e-10,0.0,0.0,0.0,0.038838687356003265,0.0,9.977590579919034e-11,4.097955940550162e-11,0.0,1.4030522376183546e-10,0.028121491428151277,0.0,0.06950891773789432,0.0,4.998732721230488e-11,0.07100455934939662,0.10635329576891518,0.0,0.0,0.32044874673019164,0.0,1.944921095621658e-12,8.682261357355137e-11,7.975274312515669e-11,0.0,0.0,0.07457311515719732,8.812541799549346e-11,5.565777082765197e-11,0.0,7.194979212615327e-11,3.1799458143849225e-10,0.0,0.0,1.8757170112692072e-11,3.055731679191155e-11,3.2740914891651715e-11,0.0,0.057802349104260235,0.0,0.0,8.029434188957454e-11,2.6482088105679353e-11,0.0,8.461280584417293e-11,6.87355233037168e-11,0.0,0.05661864759002558,0.1767301886553969
