,CMCSA.O,AMGN.O,INTU.O,CSGP.O,CPRT.O,AMAT.O,ODFL.O,COST.O,AEP.O,MNST.O,EXC.O,BIIB.O,CSX.O,FAST.O,INTC.O,CSCO.O,MCHP.O,MAR.O,KLAC.O,CCEP.O,HON.O,ASML.O,CTAS.O,ADP.O,AZN.O,MSFT.O,BKNG.O,ADI.O,AMD.O,IDXX.O,CDNS.O,ADBE.O,EA.O,CTSH.O,ADSK.O,AMZN.O,GILD.O,AAPL.O,LRCX.O
2024-04-23,5.712688065133874e-12,3.3734938387398353e-12,0.0,0.0,3.153269819837736e-12,0.0,4.674811130458225e-12,7.361827771208681e-12,9.233644887453391e-12,2.815077471679937e-12,0.0943738864154997,0.0,2.4119052129779586e-12,9.901429026269549e-12,0.0,3.591677223212276e-12,0.0,0.0,0.0,8.180172887344696e-12,2.7330349822243638e-12,0.0,0.0,7.53238885986592e-12,0.905626113486802,3.0254752247948473e-12,1.9417432300896177e-12,0.0,0.0,0.0,0.0,8.287026851923648e-12,7.826231360427492e-12,0.0,0.0,5.871603754070378e-12,7.062722881393843e-14,0.0,0.0
2024-04-24,5.663132663444849e-12,3.3502016103955234e-12,0.0,0.0,3.1733957790801453e-12,0.0,4.137772187322142e-12,7.337455893637605e-12,9.274673315089348e-12,2.832347430255203e-12,0.09442925225532685,0.0,2.32732452155365e-12,9.943159656631097e-12,0.0,3.576021841843078e-12,0.0,0.0,0.0,8.201866670990285e-12,2.7004410719862906e-12,0.0,0.0,7.48791985164355e-12,0.9055707476477384,3.0214242801454095e-12,1.923075646993411e-12,0.0,0.0,0.0,0.0,8.319368532842103e-12,7.848533283938425e-12,0.0,0.0,5.7463878417940905e-12,7.03281689178872e-14,0.0,0.0
2024-04-25,5.087159936179749e-12,3.152936040775678e-12,0.0,0.0,3.042765386937053e-12,0.0,3.978980541406041e-12,6.9900430248442595e-12,8.896372335582427e-12,2.642819564297335e-12,0.08980433593959192,0.0,2.243536825128289e-12,9.539789108688861e-12,0.0,3.393174424728966e-12,0.0,0.0,0.0,7.966688627710391e-12,2.5522768579632156e-12,0.0,0.0,7.134160331460574e-12,0.9101956639683828,2.8112440995030236e-12,1.826387310355167e-12,0.0,0.0,0.0,0.0,7.873813312184106e-12,7.437444314341847e-12,0.0,0.0,5.390276663409274e-12,6.526905024723576e-14,0.0,0.0
2024-04-26,5.1765977923585894e-12,3.1571564439886457e-12,0.0,0.0,3.068144469588749e-12,0.0,3.687592552464307e-12,7.054663729837228e-12,8.724753215626664e-12,2.651405448640081e-12,0.08891464984599073,0.0,2.238912469873931e-12,9.53552559428914e-12,0.0,3.3732497758947972e-12,0.0,0.0,0.0,8.022457007928536e-12,2.5556942905928724e-12,0.0,0.0,7.0332165046223606e-12,0.9110853500619995,2.859993343030582e-12,1.8344581427592188e-12,0.0,0.0,0.0,0.0,7.935290065271248e-12,7.465286004787683e-12,0.0,0.0,5.570005725856035e-12,6.53610345346991e-14,0.0,0.0
2024-04-29,3.7320358001166187e-14,2.5845305957869916e-14,6.145969226170273e-14,0.0,1.4548593024789764e-14,0.0,0.0,1.382360629095124e-13,1.5326467104817228e-13,1.7640547425523106e-14,1.551250321321495e-13,1.6433963550827023e-14,2.93157207890538e-14,0.0,0.0,5.149050021992978e-14,0.0,1.3603095413127811e-14,0.0,1.642822499170554e-13,7.747939406669533e-14,0.0,8.931433225092752e-14,1.1099647251514665e-13,1.0,3.173499709532816e-14,6.252533536408978e-14,3.294786474763769e-14,0.0,0.0,0.0,2.593135953099761e-14,6.688819714829481e-14,2.1449187386901893e-14,0.0,7.74289575802823e-14,0.0,9.946235694056387e-14,0.0
2024-04-30,3.641650777645619e-14,2.5482092386846364e-14,5.991278378711206e-14,0.0,1.4108219531878358e-14,0.0,0.0,1.3685799329793102e-13,1.5133094812051647e-13,1.7327117076430624e-14,1.5373457282672792e-13,1.6295748990207487e-14,2.8534153649017023e-14,0.0,0.0,5.0361487278386297e-14,0.0,1.3286067614250495e-14,0.0,1.63427585096894e-13,7.665730855097041e-14,0.0,8.784410228549178e-14,1.0947900417743193e-13,0.9999999999984512,3.055377310332475e-14,6.108499500100117e-14,3.224535747549617e-14,0.0,0.0,0.0,2.5236315574716654e-14,6.5973764234642e-14,2.1063524069020287e-14,0.0,7.448407741418789e-14,0.0,9.713035655328505e-14,0.0
2024-05-01,3.624931738316953e-14,2.5622189776303646e-14,5.850625834291641e-14,0.0,1.404389730921973e-14,0.0,0.0,1.3578086670283603e-13,1.5398459293757688e-13,1.723590492061053e-14,1.537244755035097e-13,1.6281401651299225e-14,2.8319173457940073e-14,0.0,0.0,4.986313083169294e-14,0.0,1.3067074255468484e-14,0.0,1.6132502135826055e-13,7.71407063915826e-14,0.0,8.793045514144176e-14,1.1116468556914152e-13,0.9999999999984542,3.077905089531843e-14,6.0021824790155e-14,3.0949037783074074e-14,0.0,0.0,0.0,2.5416479990119558e-14,6.62187388185927e-14,2.0818694712681004e-14,0.0,7.565812037764381e-14,0.0,9.587335319624212e-14,0.0
2024-05-02,3.66940849750206e-14,2.5923365438711845e-14,5.886588190032468e-14,0.0,1.4146513631918801e-14,0.0,0.0,1.3881043448593203e-13,1.5539987344165878e-13,1.732593328421294e-14,1.5516633115458286e-13,1.6213469216069903e-14,2.8865216897047294e-14,0.0,0.0,5.02107486211107e-14,0.0,1.3267984436019996e-14,0.0,1.6248698787332808e-13,7.710054291204261e-14,0.0,8.84644292785822e-14,1.0965797993806105e-13,0.9999999999984354,3.1254571004006975e-14,6.151933421408996e-14,3.1616456038142216e-14,0.0,0.0,0.0,2.6012929544103333e-14,6.691827842247542e-14,2.1275166931394784e-14,0.0,7.870411333754225e-14,0.0,9.877416361752711e-14,0.0
2024-05-03,3.6743147636738184e-14,2.877816410579249e-14,5.98913611740459e-14,0.0,1.425114519004219e-14,0.0,0.0,1.3996671909037037e-13,1.5489230148905836e-13,1.7719830799098914e-14,1.5209703876739707e-13,1.6398235660528777e-14,2.8896305570703484e-14,0.0,0.0,5.020062190593534e-14,0.0,1.3118164338589568e-14,0.0,1.6194794961362616e-13,7.740292878139133e-14,0.0,8.938534414479926e-14,1.0880506662715556e-13,0.999999999998426,3.171733699278966e-14,6.291342616880221e-14,3.189030740392285e-14,0.0,0.0,0.0,2.6346311243769888e-14,6.698425560692187e-14,2.1115533206019976e-14,0.0,7.876742988835843e-14,0.0,1.0392836278759041e-13,0.0
2024-05-06,0.0,0.14221279582885915,0.0,2.9349710079710696e-12,0.0,2.4367808460753048e-12,9.202379861365607e-12,0.25844946877614955,0.03970065407277581,0.0,0.0,0.0,0.0,0.0,1.1388419892423238e-11,0.0,2.2658928880716757e-12,2.349042732819418e-13,2.0798687429831975e-12,0.0,0.0,8.611901793037673e-12,0.0,0.0,0.5596370813196084,0.0,0.0,9.333744836417807e-13,9.157232225346181e-12,3.752990447815866e-13,5.0341544075481015e-12,0.0,0.0,0.0,1.0130318364223714e-11,0.0,0.0,9.871048408670178e-14,6.1737130307787355e-12
